Date,Open,High,Low,Close,Volume
2000-08-01 00:00:00-04:00,273.8999938964844,278.29998779296875,273.8999938964844,278.29998779296875,0
2000-09-01 00:00:00-04:00,277.0,278.3999938964844,269.0,273.6000061035156,4291
2000-11-01 00:00:00-05:00,263.8999938964844,270.20001220703125,263.8999938964844,270.1000061035156,32465
2000-12-01 00:00:00-05:00,269.70001220703125,276.0,268.0,272.0,1664
2001-01-01 00:00:00-05:00,268.3999938964844,268.3999938964844,262.79998779296875,265.6000061035156,17811
2001-02-01 00:00:00-05:00,266.29998779296875,268.8999938964844,255.0,266.79998779296875,1066
2001-03-01 00:00:00-05:00,265.20001220703125,271.6000061035156,256.6000061035156,257.8999938964844,31161
2001-05-01 00:00:00-04:00,264.3999938964844,287.3999938964844,264.20001220703125,265.29998779296875,32850
2001-06-01 00:00:00-04:00,264.70001220703125,277.0,264.5,270.6000061035156,1350
2001-08-01 00:00:00-04:00,266.20001220703125,279.29998779296875,265.79998779296875,274.3999938964844,1817
2001-09-01 00:00:00-04:00,271.6000061035156,294.0,271.6000061035156,292.3999938964844,3137
2001-10-01 00:00:00-04:00,291.79998779296875,292.8999938964844,275.5,279.5,893
2001-11-01 00:00:00-05:00,279.70001220703125,281.0,272.29998779296875,273.8999938964844,27949
2001-12-01 00:00:00-05:00,273.5,281.29998779296875,271.20001220703125,278.70001220703125,2157
2002-01-01 00:00:00-05:00,278.8999938964844,287.3999938964844,278.1000061035156,282.1000061035156,28613
2002-02-01 00:00:00-05:00,282.29998779296875,308.0,282.20001220703125,296.70001220703125,3964
2002-03-01 00:00:00-05:00,298.0,304.5,289.8999938964844,302.6000061035156,29465
2002-04-01 00:00:00-05:00,302.6000061035156,312.5,297.5,308.8999938964844,2226
2002-05-01 00:00:00-04:00,309.1000061035156,329.0,306.79998779296875,326.5,29743
2002-06-01 00:00:00-04:00,326.6000061035156,330.29998779296875,313.5,313.5,5817
2002-07-01 00:00:00-04:00,314.0,323.8999938964844,300.79998779296875,303.20001220703125,28530
2002-08-01 00:00:00-04:00,303.20001220703125,318.0,298.0,312.3999938964844,3256
2002-10-01 00:00:00-04:00,322.0,322.8999938964844,309.79998779296875,318.0,3849
2002-11-01 00:00:00-05:00,318.79998779296875,324.5,316.5,316.79998779296875,54551
2003-01-01 00:00:00-05:00,346.1000061035156,372.0,345.20001220703125,368.29998779296875,8298
2003-02-01 00:00:00-05:00,368.0,388.8999938964844,342.0,350.20001220703125,6928
2003-03-01 00:00:00-05:00,349.20001220703125,356.79998779296875,326.0,335.8999938964844,6100
2003-04-01 00:00:00-05:00,336.0,338.3999938964844,319.29998779296875,339.1000061035156,3097
2003-05-01 00:00:00-04:00,339.0,370.0,339.0,364.5,164025
2003-07-01 00:00:00-04:00,351.3999938964844,364.79998779296875,342.1000061035156,354.0,86330
2003-08-01 00:00:00-04:00,354.1000061035156,375.0,346.0,375.70001220703125,5743
2003-09-01 00:00:00-04:00,375.0,388.70001220703125,372.8999938964844,385.3999938964844,16207
2003-10-01 00:00:00-04:00,385.5,394.0,368.0,384.5,3594
2003-11-01 00:00:00-05:00,382.79998779296875,402.0,377.0,396.79998779296875,165003
2003-12-01 00:00:00-05:00,397.20001220703125,417.20001220703125,397.0,415.70001220703125,10267
2004-01-01 00:00:00-05:00,415.70001220703125,428.20001220703125,396.5,402.20001220703125,132663
2004-03-01 00:00:00-05:00,396.3999938964844,428.0,391.1000061035156,427.29998779296875,105746
2004-04-01 00:00:00-05:00,427.20001220703125,432.0,380.0,387.0,6579
2004-05-01 00:00:00-04:00,387.0,396.29998779296875,375.79998779296875,394.0,144835
2004-06-01 00:00:00-04:00,393.8999938964844,405.0,383.0,392.6000061035156,6207
2004-07-01 00:00:00-04:00,396.0,408.1000061035156,385.0,391.0,116575
2004-09-01 00:00:00-04:00,407.29998779296875,418.79998779296875,396.79998779296875,418.70001220703125,16144
2004-10-01 00:00:00-04:00,419.1000061035156,430.0,410.29998779296875,428.5,2646
2004-11-01 00:00:00-05:00,427.29998779296875,454.79998779296875,424.6000061035156,451.29998779296875,183608
2004-12-01 00:00:00-05:00,451.6000061035156,456.5,432.6000061035156,437.5,12728
2005-01-01 00:00:00-05:00,431.0,431.0,418.70001220703125,421.79998779296875,115342
2005-02-01 00:00:00-05:00,422.20001220703125,436.0,410.1000061035156,436.5,8468
2005-03-01 00:00:00-05:00,435.0,446.3999938964844,424.70001220703125,428.70001220703125,3171
2005-04-01 00:00:00-05:00,428.29998779296875,438.20001220703125,422.70001220703125,435.0,2579
2005-06-01 00:00:00-04:00,416.3999938964844,442.5,414.0,435.8999938964844,6950
2005-07-01 00:00:00-04:00,427.79998779296875,430.5,419.6000061035156,429.8999938964844,44574
2005-08-01 00:00:00-04:00,430.0,449.5,429.1000061035156,433.79998779296875,3085
2005-09-01 00:00:00-04:00,438.5,474.0,438.5,469.0,11805
2005-10-01 00:00:00-04:00,467.79998779296875,478.5,460.5,465.1000061035156,2106
2005-11-01 00:00:00-05:00,463.0,502.29998779296875,455.29998779296875,494.6000061035156,157642
2005-12-01 00:00:00-05:00,494.20001220703125,538.5,490.1000061035156,517.0999755859375,12240
2006-02-01 00:00:00-05:00,570.7999877929688,575.2999877929688,535.5,561.5999755859375,10165
2006-03-01 00:00:00-05:00,562.5,589.5999755859375,539.9000244140625,581.7999877929688,94801
2006-04-01 00:00:00-05:00,582.0,651.7999877929688,582.0,651.7999877929688,8121
2006-05-01 00:00:00-04:00,658.0,723.0,637.0,642.5,137161
2006-06-01 00:00:00-04:00,642.7999877929688,645.0999755859375,555.0,613.5,6197
2006-07-01 00:00:00-04:00,631.0,677.0,612.7000122070312,634.2000122070312,99344
2006-08-01 00:00:00-04:00,635.4000244140625,656.0,609.0,625.9000244140625,4608
2006-09-01 00:00:00-04:00,624.4000244140625,638.5,576.4000244140625,598.5999755859375,17592
2006-11-01 00:00:00-05:00,612.5,648.0,612.5,646.9000244140625,114115
2006-12-01 00:00:00-05:00,645.7000122070312,649.7000122070312,612.0,635.2000122070312,3823
2007-01-01 00:00:00-05:00,635.2000122070312,655.5,607.0,652.0,101525
2007-02-01 00:00:00-05:00,652.9000244140625,687.7000122070312,642.0,669.4000244140625,3981
2007-03-01 00:00:00-05:00,673.0,673.0,640.0,663.0,52996
2007-05-01 00:00:00-04:00,673.7000122070312,688.0,651.0,661.0,158741
2007-06-01 00:00:00-04:00,661.5,674.0,640.0,648.0999755859375,4027
2007-08-01 00:00:00-04:00,663.2000122070312,676.2000122070312,642.9000244140625,673.0,8547
2007-09-01 00:00:00-04:00,672.5,745.7000122070312,672.5,742.7999877929688,27393
2007-10-01 00:00:00-04:00,745.0999755859375,795.4000244140625,724.2999877929688,792.0,2720
2007-11-01 00:00:00-04:00,785.2999877929688,841.2999877929688,777.5999755859375,782.2000122070312,239351
2007-12-01 00:00:00-05:00,783.9000244140625,843.2000122070312,777.0,834.9000244140625,7681
2008-01-01 00:00:00-05:00,848.7000122070312,936.2999877929688,846.4000244140625,922.7000122070312,231851
2008-02-01 00:00:00-05:00,924.7999877929688,973.0999755859375,884.7000122070312,972.0999755859375,8233
2008-03-01 00:00:00-05:00,984.2000122070312,1014.5999755859375,912.0,916.2000122070312,216432
2008-04-01 00:00:00-04:00,915.0,948.7000122070312,863.0,862.7999877929688,13006
2008-05-01 00:00:00-04:00,855.0,925.5999755859375,849.5999755859375,887.2999877929688,221797
2008-07-01 00:00:00-04:00,943.5999755859375,986.2000122070312,893.2999877929688,913.9000244140625,250610
2008-08-01 00:00:00-04:00,904.9000244140625,916.0999755859375,780.9000244140625,829.2999877929688,9253
2008-09-01 00:00:00-04:00,829.9000244140625,919.0,739.0,874.2000122070312,18800
2008-10-01 00:00:00-04:00,878.0,925.7000122070312,681.0,716.7999877929688,3365
2008-11-01 00:00:00-04:00,728.7999877929688,824.0,707.0,816.2000122070312,377779
2008-12-01 00:00:00-05:00,817.2000122070312,883.5999755859375,740.0,883.5999755859375,9599
2009-01-01 00:00:00-05:00,881.5,930.2999877929688,805.5999755859375,927.2999877929688,215420
