datetime,open,high,low,close,volume
2015-07-06,1168.902,1175.668,1147.2865,1163.647,28381
2015-07-13,1163.647,1165.1005,1131.1495,1134.4725,33951
2015-07-20,1134.4725,1134.4725,1072.2495,1099.534,62223
2015-07-27,1099.534,1105.157,1080.1555,1095.5685,25001
2015-08-03,1095.5685,1099.679,1081.085,1094.175,18594
2015-08-10,1094.175,1126.925,1089.744,1114.921,37181
2015-08-17,1114.921,1168.389,1109.5725,1161.1095,58816
2015-08-24,1161.1095,1170.28,1117.7665,1133.744,52513
2015-08-31,1133.744,1148.0765,1116.519,1121.578,31557
2015-09-07,1121.578,1126.9425,1098.795,1107.7665,28147
2015-09-14,1107.7665,1141.9215,1102.545,1139.059,39376
2015-09-21,1139.059,1156.7635,1121.3945,1146.2295,35368
2015-09-28,1146.2295,1148.3695,1104.735,1138.492,43634
2015-10-05,1138.492,1159.741,1130.214,1156.36,29527
2015-10-12,1156.36,1191.653,1151.942,1176.7425,39711
2015-10-19,1176.7425,1181.0175,1159.0165,1164.4585,22000
2015-10-26,1164.4585,1183.08,1138.932,1142.173,44147
2015-11-02,1142.173,1143.1005,1085.524,1089.661,57576
2015-11-09,1089.661,1095.9155,1074.0375,1083.8925,21878
2015-11-16,1083.8925,1098.199,1063.846,1077.765,34353
2015-11-23,1077.765,1081.25,1052.885,1057.7685,28365
2015-11-30,1057.7685,1088.908,1046.459,1086.532,42448
2015-12-07,1086.532,1086.783,1062.541,1074.8315,24241
2015-12-14,1074.8315,1078.5705,1047.755,1066.23,30815
2015-12-21,1066.23,1081.8075,1063.953,1076.2445,17854
2015-12-28,1076.2445,1077.2065,1057.808,1060.6345,19398
2016-01-04,1060.6345,1113.7065,1060.6345,1104.161,53072
2016-01-11,1104.161,1108.6215,1071.475,1088.7755,37146
2016-01-18,1088.7755,1109.851,1082.471,1097.653,27380
2016-01-25,1097.653,1128.1735,1097.344,1118.143,30829
2016-02-01,1118.143,1174.66,1115.614,1173.5065,59046
2016-02-08,1173.5065,1263.436,1164.2965,1237.951,99139
2016-02-15,1237.951,1240.021,1190.9975,1226.326,49023
2016-02-22,1226.326,1253.378,1202.046,1222.997,51331
2016-02-29,1222.997,1279.9235,1215.759,1259.277,64164
2016-03-07,1259.277,1284.979,1237.0325,1250.3545,47946
2016-03-14,1250.3545,1271.057,1225.664,1255.2935,45393
2016-03-21,1255.2935,1260.3555,1211.108,1217.3005,49247
2016-03-28,1217.3005,1244.432,1207.873,1222.3655,36558
2016-04-04,1222.3655,1243.351,1214.7315,1239.6775,28619
2016-04-11,1239.6775,1262.7885,1223.96,1234.0655,38828
2016-04-18,1234.0655,1270.3615,1227.586,1232.3945,42775
2016-04-25,1232.3945,1296.913,1230.238,1293.3535,66674
2016-05-02,1293.3535,1303.838,1268.981,1287.737,34856
2016-05-09,1287.737,1287.737,1256.9375,1273.064,30799
2016-05-16,1273.064,1288.7695,1244.058,1252.23,44711
2016-05-23,1252.23,1256.1715,1206.8155,1212.9815,49355
2016-05-30,1212.9815,1244.924,1199.655,1244.247,45269
2016-06-06,1244.247,1278.2235,1234.7685,1273.7815,43455
2016-06-13,1273.7815,1315.7595,1272.581,1298.6375,43178
2016-06-20,1298.6375,1358.7615,1250.4275,1315.7225,108334
2016-06-27,1315.7225,1344.615,1305.5175,1341.229,39097
2016-07-04,1341.229,1375.307,1335.3295,1366.235,39977
2016-07-11,1366.235,1375.2295,1320.2825,1337.4675,54946
2016-07-18,1337.4675,1338.316,1310.8785,1322.2945,27437
2016-07-25,1322.2945,1355.119,1311.9025,1351.2055,43216
2016-08-01,1351.2055,1367.3175,1334.758,1336.112,32559
2016-08-08,1336.112,1357.358,1330.041,1336.2345,27317
2016-08-15,1336.2345,1358.208,1335.388,1341.602,22820
2016-08-22,1341.602,1344.8475,1318.067,1320.5305,26780
2016-08-29,1320.5305,1330.3025,1302.5685,1325.4725,27733
2016-09-05,1325.4725,1352.8545,1321.874,1326.985,30980
2016-09-12,1326.985,1332.1295,1306.3285,1310.1955,25800
2016-09-19,1310.1955,1343.731,1307.851,1338.169,35879
2016-09-26,1338.169,1342.2365,1313.3525,1316.0645,28884
2016-10-03,1316.0645,1319.7,1241.511,1257.4635,78189
2016-10-10,1257.4635,1265.0505,1246.146,1251.5925,18904
2016-10-17,1251.5925,1274.8795,1250.292,1266.3755,24587
2016-10-24,1266.3755,1284.403,1260.421,1275.792,23981
2016-10-31,1275.792,1308.0775,1271.262,1305.1135,36815
2016-11-07,1305.1135,1337.495,1219.1785,1227.8555,118316
2016-11-14,1227.8555,1233.2355,1202.525,1207.8835,30710
2016-11-21,1207.8835,1221.147,1170.938,1184.2895,50208
2016-11-28,1184.2895,1197.7475,1160.8295,1177.287,36917
2016-12-05,1177.287,1188.267,1156.2945,1159.8395,31972
2016-12-12,1159.8395,1165.8825,1122.751,1134.7365,43131
2016-12-19,1134.7365,1142.508,1125.873,1132.388,16634
2016-12-26,1132.388,1163.4065,1131.709,1151.61,31697
2017-01-02,1151.61,1185.151,1146.157,1172.6905,38994
2017-01-09,1172.6905,1207.047,1172.038,1197.383,35009
2017-01-16,1197.383,1218.944,1195.922,1210.395,23021
2017-01-23,1210.395,1220.224,1180.59,1191.082,39634
2017-01-30,1191.082,1225.409,1188.338,1220.5935,37071
2017-02-06,1220.5935,1244.83,1219.236,1233.755,25593
2017-02-13,1233.755,1243.85,1216.752,1234.7255,27097
2017-02-20,1234.7255,1260.198,1226.248,1257.3295,33950
2017-02-27,1257.3295,1263.944,1222.911,1234.974,41032
2017-03-06,1234.974,1236.95,1195.067,1204.6815,41883
2017-03-13,1204.6815,1233.884,1197.294,1229.3345,36589
2017-03-20,1229.3345,1253.408,1226.962,1243.449,26445
2017-03-27,1243.449,1261.081,1239.677,1249.119,21403
2017-04-03,1249.119,1271.122,1243.821,1254.437,27301
2017-04-10,1254.437,1288.644,1247.112,1287.5825,41531
2017-04-17,1287.5825,1295.612,1273.904,1284.265,21708
2017-04-24,1284.265,1284.265,1259.97,1268.229,24295
2017-05-01,1268.229,1271.295,1225.579,1228.368,45716
2017-05-08,1228.368,1236.652,1214.392,1228.021,22259
2017-05-15,1228.021,1265.091,1226.975,1255.759,38115
2017-05-22,1255.759,1269.543,1247.979,1266.928,21563
2017-05-29,1266.928,1279.677,1259.044,1279.29,20632
2017-06-05,1279.29,1296.208,1264.771,1266.732,31437
2017-06-12,1266.732,1281.204,1251.534,1254.449,29669
2017-06-19,1254.449,1258.912,1240.902,1256.7525,18009
2017-06-26,1256.7525,1258.272,1236.006,1242.118,22265
2017-07-03,1242.118,1242.826,1207.416,1212.935,35410
2017-07-10,1212.935,1233.042,1204.89,1228.971,28151
2017-07-17,1228.971,1255.7625,1228.282,1254.9845,27480
2017-07-24,1254.9845,1270.962,1243.821,1269.5595,27141
2017-07-31,1269.5595,1274.204,1254.271,1259.177,19932
2017-08-07,1259.177,1292.354,1251.614,1289.36,40740
2017-08-14,1289.36,1300.926,1267.397,1284.523,33529
2017-08-21,1284.523,1295.152,1276.196,1291.443,18956
2017-08-28,1291.443,1329.053,1291.443,1324.876,37610
2017-09-04,1324.876,1357.624,1324.876,1346.7815,32748
2017-09-11,1346.7815,1346.7815,1315.683,1320.66,31098
2017-09-18,1320.66,1320.66,1288.15,1297.293,32509
2017-09-25,1297.293,1313.809,1275.633,1280.081,38175
2017-10-02,1280.081,1282.32,1260.668,1276.372,21652
2017-10-09,1276.372,1304.299,1275.331,1303.797,28968
2017-10-16,1303.797,1306.138,1276.729,1280.368,29408
2017-10-23,1280.368,1283.772,1263.582,1274.131,20189
2017-10-30,1274.131,1284.271,1265.534,1269.9905,18736
2017-11-06,1269.9905,1288.744,1266.174,1275.413,22569
2017-11-13,1275.413,1296.984,1270.118,1294.343,26865
2017-11-20,1294.343,1294.956,1274.518,1288.457,20437
2017-11-27,1288.457,1299.326,1270.371,1280.637,28954
2017-12-04,1280.637,1280.637,1243.958,1248.3,36678
2017-12-11,1248.3,1261.957,1236.527,1255.157,25430
2017-12-18,1255.157,1276.203,1252.872,1274.756,23330
2017-12-25,1274.756,1307.676,1273.408,1303.247,34268
2018-01-01,1303.247,1326.064,1302.9,1319.864,23163
2018-01-08,1319.864,1339.434,1308.318,1338.425,31115
2018-01-15,1338.425,1344.874,1324.3,1331.678,20574
2018-01-22,1331.678,1366.112,1328.5,1349.765,37612
2018-01-29,1349.765,1352.506,1327.472,1333.081,25034
2018-02-05,1333.081,1346.192,1307.081,1316.47,39111
2018-02-12,1316.47,1361.796,1314.294,1347.532,47501
2018-02-19,1347.532,1351.463,1321.026,1329.623,30436
2018-02-26,1329.623,1341.072,1302.832,1322.064,38239
2018-03-05,1322.064,1340.6,1312.862,1323.532,27737
2018-03-12,1323.532,1330.162,1309.687,1314.435,20475
2018-03-19,1314.435,1350.334,1307.21,1348.008,43124
2018-03-26,1348.008,1356.917,1321.248,1325.2385,35668
2018-04-02,1325.2385,1348.266,1320.075,1333.3325,28191
2018-04-09,1333.3325,1365.37,1326.93,1345.9,38439
2018-04-16,1345.9,1355.81,1335.006,1336.154,20803
2018-04-23,1336.154,1336.154,1315.286,1323.699,20867
2018-04-30,1323.699,1325.032,1301.756,1314.994,23275
2018-05-07,1314.994,1326.046,1304.332,1318.571,21713
2018-05-14,1318.571,1322.431,1284.914,1292.603,37517
2018-05-21,1292.603,1307.89,1282.031,1301.826,25859
2018-05-28,1301.826,1306.912,1289.567,1293.668,17345
2018-06-04,1293.668,1303.327,1289.908,1299.235,13419
2018-06-11,1299.235,1309.404,1275.502,1279.665,33902
2018-06-18,1279.665,1284.098,1261.259,1269.96,22838
2018-06-25,1269.96,1272.702,1245.98,1253.022,26721
2018-07-02,1253.022,1261.181,1238.02,1255.257,23161
2018-07-09,1255.257,1266.023,1236.518,1241.68,29504
2018-07-16,1241.68,1245.654,1211.52,1231.212,34134
2018-07-23,1231.212,1235.298,1217.594,1223.459,17703
2018-07-30,1223.459,1228.589,1204.528,1213.879,24060
2018-08-06,1213.879,1217.988,1205.78,1212.019,12208
2018-08-13,1212.019,1213.983,1160.324,1184.679,53658
2018-08-20,1184.679,1208.715,1182.895,1205.782,25819
2018-08-27,1205.782,1214.41,1195.945,1201.055,18465
2018-09-03,1201.055,1207.084,1189.686,1196.55,17398
2018-09-10,1196.55,1212.748,1187.818,1194.061,24930
2018-09-17,1194.061,1211.153,1192.023,1198.717,19130
2018-09-24,1198.717,1204.234,1180.77,1191.82,23463
2018-10-01,1191.82,1208.405,1184.62,1203.782,23785
2018-10-08,1203.782,1226.4,1182.9,1217.62,43500
2018-10-15,1217.62,1233.292,1216.991,1226.682,16300
2018-10-22,1226.682,1243.47,1220.137,1233.903,23333
2018-10-29,1233.903,1237.504,1212.001,1233.05,25502
2018-11-05,1233.05,1236.911,1206.734,1209.832,30177
2018-11-12,1209.832,1225.364,1196.436,1221.811,28928
2018-11-19,1221.811,1230.003,1218.096,1223.148,11906
2018-11-26,1223.148,1229.091,1211.281,1222.028,17809
2018-12-03,1222.028,1250.082,1221.381,1248.084,28701
2018-12-10,1248.084,1251.276,1233.0,1238.593,18276
2018-12-17,1238.593,1266.558,1235.867,1255.984,30691
2018-12-24,1255.984,1282.237,1255.984,1281.362,26253
2018-12-31,1281.362,1298.633,1276.699,1285.145,21933
2019-01-07,1285.145,1297.194,1279.437,1287.62,17757
2019-01-14,1287.62,1295.954,1280.717,1281.689,15236
2019-01-21,1281.689,1304.099,1276.851,1303.2,27247
2019-01-28,1303.2,1326.312,1297.772,1317.796,28539
2019-02-04,1317.796,1319.129,1302.887,1314.12,16241
2019-02-11,1314.12,1322.543,1302.449,1321.053,20093
2019-02-18,1321.053,1346.743,1320.676,1328.062,26067
2019-02-25,1328.062,1332.606,1290.315,1293.311,42290
2019-03-04,1293.311,1300.836,1280.922,1298.889,19913
2019-03-11,1298.889,1311.288,1290.558,1302.434,20730
2019-03-18,1302.434,1320.434,1298.325,1313.666,22108
2019-03-25,1313.666,1324.568,1286.842,1292.412,37725
2019-04-01,1292.412,1297.077,1280.984,1291.698,16093
2019-04-08,1291.698,1310.602,1289.779,1290.233,20823
2019-04-15,1290.233,1292.022,1271.28,1275.68,20741
2019-04-22,1275.68,1288.743,1266.421,1286.137,22321
2019-04-29,1286.137,1287.236,1266.389,1279.072,20847
2019-05-06,1279.072,1291.513,1277.116,1285.97,14396
2019-05-13,1285.97,1303.364,1274.962,1277.532,28402
2019-05-20,1277.532,1287.347,1269.603,1284.612,17743
2019-05-27,1284.612,1306.898,1275.124,1305.276,31773
2019-06-03,1305.276,1348.212,1305.276,1340.437,42935
2019-06-10,1340.437,1358.222,1319.999,1341.932,38222
2019-06-17,1341.932,1411.993,1333.12,1399.427,78873
2019-06-24,1399.427,1439.318,1398.745,1409.407,40573
2019-07-01,1409.407,1437.8,1381.904,1399.43,55895
2019-07-08,1399.43,1427.203,1385.87,1415.611,41333
2019-07-15,1415.611,1453.005,1400.214,1425.58,52791
2019-07-22,1427.59,1433.826,1411.206,1418.638,22620
2019-07-29,1418.638,1448.998,1400.613,1440.959,48384
2019-08-05,1440.959,1510.452,1436.794,1496.717,73657
2019-08-12,1496.717,1535.094,1479.99,1513.791,55104
2019-08-19,1513.791,1530.204,1492.593,1527.378,37610
2019-08-26,1539.725,1555.182,1517.16,1520.531,38021
2019-09-02,1527.821,1557.074,1502.707,1506.92,54366
2019-09-09,1506.923,1524.25,1484.705,1488.747,39545
2019-09-16,1488.747,1517.06,1483.311,1516.975,33749
2019-09-23,1514.557,1535.668,1487.105,1497.199,48562
2019-09-30,1495.252,1519.651,1459.17,1504.738,60480
2019-10-07,1511.782,1517.108,1474.094,1488.966,43013
2019-10-14,1488.85,1498.486,1477.228,1490.44,21258
2019-10-21,1491.384,1517.974,1480.961,1504.52,37012
2019-10-28,1504.52,1516.171,1481.264,1514.325,34907
2019-11-04,1514.325,1514.879,1456.322,1459.262,58557
2019-11-11,1459.262,1474.604,1445.707,1468.162,28896
2019-11-18,1468.162,1478.739,1456.458,1462.617,22280
2019-11-25,1462.617,1466.461,1450.186,1463.989,16275
2019-12-02,1463.989,1484.085,1454.178,1460.413,29906
2019-12-09,1460.413,1486.783,1458.796,1476.328,27986
2019-12-16,1476.328,1481.762,1470.58,1478.088,11182
2019-12-23,1478.088,1515.32,1477.587,1511.131,37732
2019-12-30,1511.131,1553.537,1510.88,1552.394,42656
2020-01-06,1552.394,1611.498,1540.256,1562.212,71241
2020-01-13,1562.212,1562.212,1536.016,1557.304,26195
2020-01-20,1557.304,1575.929,1546.403,1571.724,29526
2020-01-27,1571.724,1590.55,1563.471,1589.975,27078
2020-02-03,1589.975,1592.168,1547.5535,1570.384,44614
2020-02-10,1570.384,1585.08,1561.984,1583.846,23096
2020-02-17,1583.846,1649.34,1578.935,1643.397,70404
2020-02-24,1643.397,1689.384,1563.038,1586.542,126346
2020-03-02,1586.542,1692.252,1575.579,1674.062,116673
2020-03-09,1674.062,1703.282,1504.782,1529.486,198500
2020-03-16,1529.486,1575.454,1451.432,1499.094,124021
2020-03-23,1499.094,1644.433,1482.79,1627.724,161643
2020-03-30,1627.724,1632.264,1572.827,1618.425,59436
2020-04-06,1618.425,1690.25,1609.26,1683.505,80990
2020-04-13,1683.505,1747.722,1675.045,1683.5,72676
2020-04-20,1683.5,1738.878,1661.416,1729.406,77461
2020-04-27,1729.406,1729.406,1670.909,1701.282,58496
2020-05-04,1701.282,1723.654,1682.632,1702.39,41021
2020-05-11,1702.39,1751.718,1692.126,1742.624,59592
2020-05-18,1742.624,1765.256,1717.568,1734.448,47688
2020-05-25,1734.448,1737.914,1694.006,1729.615,43907
2020-06-01,1729.615,1745.304,1670.438,1685.27,74865
2020-06-08,1685.27,1744.918,1677.506,1730.905,67411
2020-06-15,1730.905,1745.282,1704.484,1744.189,40798
2020-06-22,1744.189,1779.446,1742.68,1771.478,36765
2020-06-29,1771.478,1789.265,1757.665,1775.086,31600
2020-07-06,1775.086,1818.092,1770.1,1798.446,47992
2020-07-13,1798.446,1815.236,1790.766,1810.046,24470
2020-07-20,1810.046,1906.585,1805.878,1901.637,100707
2020-07-27,1901.637,1983.102,1900.01,1975.962,83092
2020-08-03,1975.962,2075.282,1960.54,2035.23,114742
2020-08-10,2035.23,2049.915,1862.899,1944.714,187016
2020-08-17,1944.714,2015.726,1911.586,1940.498,104140
2020-08-24,1940.498,1977.187,1902.726,1965.026,74460
2020-08-31,1965.026,1992.565,1916.696,1934.024,75869
2020-09-07,1934.024,1966.57,1906.628,1940.456,59942
2020-09-14,1940.456,1973.782,1932.886,1950.506,40895
2020-09-21,1950.506,1955.624,1848.842,1861.62,106781
2020-09-28,1861.62,1917.165,1848.801,1899.168,68364
2020-10-05,1899.168,1930.57,1872.898,1930.521,57672
2020-10-12,1930.521,1933.292,1882.434,1899.33,50857
2020-10-19,1899.33,1931.401,1894.483,1902.04,36918
2020-10-26,1902.04,1911.354,1860.08,1878.952,51274
2020-11-02,1878.952,1960.386,1873.504,1951.193,86882
2020-11-09,1951.193,1965.572,1850.53,1889.565,115041
2020-11-16,1889.565,1899.112,1852.792,1870.987,46320
2020-11-23,1870.987,1876.139,1774.41,1786.92,101728
2020-11-30,1786.92,1848.202,1764.57,1838.79,83632
2020-12-07,1838.79,1875.306,1822.253,1839.303,53053
2020-12-14,1839.303,1896.318,1819.418,1881.479,76900
2020-12-21,1881.479,1906.809,1855.148,1879.555,51661
2020-12-28,1879.555,1901.026,1869.309,1898.391,31717
2021-01-04,1898.391,1959.406,1828.276,1849.215,131129
2021-01-11,1849.215,1863.87,1817.16,1828.586,46709
2021-01-18,1828.586,1875.17,1802.955,1855.8,72215
2021-01-25,1855.8,1875.736,1831.426,1847.74,44310
2021-02-01,1847.74,1871.89,1785.02,1814.2,86870
2021-02-08,1814.2,1855.455,1807.865,1824.4,47589
2021-02-15,1824.4,1827.1,1760.754,1784.185,66346
2021-02-22,1784.185,1816.1,1717.27,1734.375,98829
2021-03-01,1734.375,1759.95,1687.29,1703.12,72660
2021-03-08,1703.12,1739.89,1676.866,1726.965,63024
2021-03-15,1726.965,1755.565,1719.25,1745.054,36315
2021-03-22,1745.054,1747.046,1721.695,1732.77,25351
2021-03-29,1732.77,1733.371,1677.954,1729.88,55417
2021-04-05,1729.88,1758.724,1721.366,1743.775,37357
2021-04-12,1743.775,1783.898,1723.792,1776.68,60105
2021-04-19,1776.68,1797.934,1763.72,1777.35,34213
2021-04-26,1777.35,1790.03,1756.132,1771.945,33897
2021-05-03,1771.945,1843.4,1766.29,1831.355,77110
2021-05-10,1831.355,1846.296,1808.866,1843.165,37430
2021-05-17,1843.165,1890.145,1842.02,1881.245,48125
2021-05-24,1881.245,1912.785,1872.755,1903.456,40029
2021-05-31,1903.456,1916.615,1856.04,1891.395,60575
2021-06-07,1891.395,1903.93,1869.945,1877.82,33985
2021-06-14,1877.82,1878.08,1761.04,1764.235,117039
2021-06-21,1764.235,1794.985,1764.235,1781.646,30750
2021-06-28,1781.646,1795.1,1750.74,1787.45,44359
2021-07-05,1787.45,1818.54,1784.52,1808.465,34019
2021-07-12,1808.465,1834.195,1791.645,1812.255,42549
2021-07-19,1812.255,1825.006,1789.69,1801.975,35316
2021-07-26,1801.975,1832.73,1792.795,1814.18,39934
2021-08-02,1814.18,1831.77,1758.8,1763.085,72970
2021-08-09,1763.085,1780.095,1677.686,1779.9,102409
2021-08-16,1779.9,1795.6,1770.876,1781.24,24723
2021-08-23,1781.24,1819.22,1776.559,1817.425,42661
2021-08-30,1817.425,1834.04,1801.72,1827.8,32319
2021-09-06,1827.8,1830.305,1782.47,1787.55,47835
2021-09-13,1787.55,1808.66,1745.355,1754.95,63305
2021-09-20,1754.95,1787.32,1737.84,1750.465,49480
2021-09-27,1750.465,1764.35,1721.71,1760.92,42639
2021-10-04,1760.92,1781.405,1745.99,1757.17,35414
2021-10-11,1757.17,1800.645,1750.245,1767.475,50400
2021-10-18,1767.475,1813.845,1760.375,1792.525,53470
2021-10-25,1792.525,1810.506,1771.98,1783.35,38526
2021-11-01,1783.35,1818.36,1758.89,1818.17,59469
2021-11-08,1818.17,1868.76,1812.495,1864.9,56265
2021-11-15,1864.9,1877.14,1843.09,1845.885,34050
2021-11-22,1845.885,1849.165,1778.615,1793.035,70549
2021-11-29,1793.035,1808.86,1761.94,1783.795,46919
2021-12-06,1783.795,1793.155,1770.215,1782.87,22940
2021-12-13,1782.87,1814.305,1753.07,1798.16,61235
2021-12-20,1798.16,1810.744,1784.905,1808.47,25838
2021-12-27,1808.47,1830.385,1789.494,1828.775,40891
2022-01-03,1828.775,1831.835,1782.675,1796.58,49160
2022-01-10,1796.58,1829.21,1790.436,1817.93,38774
2022-01-17,1817.93,1847.946,1805.84,1834.65,42105
2022-01-24,1834.65,1853.885,1780.33,1791.655,73555
2022-01-31,1791.655,1814.95,1785.61,1807.97,29340
2022-02-07,1807.97,1865.465,1807.934,1858.98,57530
2022-02-14,1858.98,1902.545,1844.61,1897.295,57935
2022-02-21,1897.295,1974.485,1878.095,1889.324,96389
2022-02-28,1889.324,1970.95,1889.324,1970.84,81625
2022-03-07,1970.84,2070.63,1958.68,1988.52,111950
2022-03-14,1988.52,1988.52,1895.065,1920.575,93454
2022-03-21,1920.575,1966.206,1910.73,1958.02,55475
2022-03-28,1958.02,1958.47,1890.155,1925.0,68315
2022-04-04,1925.0,1948.22,1915.08,1947.68,33140
2022-04-11,1947.68,1981.566,1940.035,1973.395,41530
2022-04-18,1973.395,1998.46,1926.636,1932.35,71824
2022-04-25,1932.35,1934.545,1872.215,1896.99,62330
2022-05-02,1896.99,1909.82,1850.47,1883.645,59349
2022-05-09,1883.645,1885.85,1799.16,1811.465,86689
