datetime,open,high,low,close,volume
2024-05-23,2379.175,2383.785,2327.02,2328.675,56764
2024-05-24,2328.675,2347.54,2325.465,2334.0,22074
2024-05-27,2334.0,2358.565,2332.285,2351.375,26280
2024-05-28,2351.375,2364.175,2340.31,2361.385,23865
2024-05-29,2361.385,2361.615,2334.54,2338.145,27074
2024-05-30,2338.145,2351.905,2322.66,2343.34,29245
2024-05-31,2343.34,2359.725,2320.595,2327.2,39130
2024-06-03,2327.2,2354.77,2314.795,2350.635,39974
2024-06-04,2350.635,2352.885,2315.675,2327.01,37210
2024-06-05,2327.01,2357.425,2325.965,2355.28,31460
2024-06-06,2355.28,2378.6,2353.5,2376.09,25099
2024-06-07,2376.09,2387.785,2286.83,2294.015,100954
2024-06-10,2294.015,2313.865,2287.805,2310.995,26059
2024-06-11,2310.995,2320.0,2297.8,2316.905,22199
2024-06-12,2316.905,2341.7,2310.75,2325.03,30949
2024-06-13,2325.03,2326.795,2295.59,2304.135,31204
2024-06-14,2304.135,2336.725,2301.605,2332.645,35119
2024-06-17,2332.645,2332.645,2310.02,2319.285,22625
2024-06-18,2320.295,2333.165,2306.65,2329.58,26514
2024-06-19,2329.005,2335.03,2323.78,2328.23,11250
2024-06-20,2330.075,2365.59,2327.765,2360.145,37825
2024-06-21,2359.665,2368.765,2316.785,2321.875,51980
2024-06-24,2321.03,2334.73,2317.775,2334.43,16954
2024-06-25,2333.945,2337.16,2315.59,2319.595,21569
2024-06-26,2320.13,2324.015,2293.69,2298.47,30324
2024-06-27,2298.84,2331.015,2296.61,2327.81,34404
2024-06-28,2327.105,2339.785,2319.105,2326.72,20679
2024-07-01,2323.32,2338.545,2318.605,2331.855,19940
2024-07-02,2331.875,2336.89,2319.13,2329.485,17759
2024-07-03,2330.335,2364.995,2326.885,2356.16,38109
2024-07-04,2356.955,2362.6,2350.51,2357.2,12089
2024-07-05,2357.03,2392.965,2348.62,2391.62,44345
2024-07-08,2389.41,2391.13,2351.09,2359.26,40039
2024-07-09,2359.125,2371.625,2349.485,2364.03,22139
2024-07-10,2363.9,2386.73,2363.15,2371.32,23579
2024-07-11,2371.93,2424.6,2371.34,2415.375,53259
2024-07-12,2413.075,2418.31,2391.52,2410.92,26789
2024-07-15,2411.81,2439.855,2401.405,2422.395,38449
2024-07-16,2422.08,2469.765,2420.08,2468.93,49684
2024-07-17,2467.82,2483.74,2451.57,2458.81,32169
2024-07-18,2458.755,2475.0,2440.415,2445.31,34585
2024-07-19,2444.495,2445.34,2393.88,2400.82,51460
